Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
87,SECURITY PATCH MANAGEMENT,"Develop security patch management procedures using well-known standards, with actions varying by system type (mandatory for exposed systems like firewalls and routers; limited patching for isolated or legacy systems where feasible). Establish a process combined with asset inventory to track new security patch publications and schedule roll-outs as standard maintenance activity, though critical vulnerabilities may require immediate patching. Prioritize and apply patches based on risk assessment of vulnerability severity, system exposure, and exploitation likelihood. Deploy vulnerability management technologies to identify unpatched and misconfigured software. Define security information sources and continuously monitor them for patch announcements, remediation options, and threats. Verify patch sources through digital certificates, digital signatures, vendor change logs, and community feedback. Consider deployment strategies following change management: blue/green deployment for zero downtime with rollback options, rolling deployment for gradual updates in large distributed environments, feature toggles for controlled enablement, shadow deployment for production testing without user impact, or hotfix deployment for critical immediate patches. For significant dependency updates, perform trials using release candidates to identify incompatibilities and remediate issues; provide feedback if open source software is involved.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.6.2,"Ensure proportionate to entity size and importance that security patches do not introduce vulnerabilities or instabilities by evaluating vendor documentation detailing specific vulnerabilities addressed, patch type (security, performance, features, or stability), system requirements and installation instructions, severity rating, and known issues from security blogs, forums and mailing lists. If patching is not feasible, apply alternative measures including strict configuration hardening, intrusion detection systems, regular vulnerability scanning, network segmentation or isolation, access control and monitoring.",Yes,,,
88,SECURITY PATCH MANAGEMENT,"By way of derogation from point 6.6.1.(a), the relevant entities may choose not to apply security patches when the disadvantages of applying the security patches outweigh the cybersecurity benefits. The relevant entities shall duly document and substantiate the reasons for any such decision.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.6.2,"Make an effort, proportionate to the entity’s size and importance, to ensure that security patches do not introduce additional vulnerabilities or instabilities. Examples of information supporting such a decision may include (indicative, non-exhaustive list):. vendor documentation on the patch:  what specific vulnerabilities or bugs are addressed,  whether the patch fixes a security issue, improves performance, adds features or resolves stability concerns,  system requirements or any specific configurations required or changes to system settings,  installation instructions on How to apply the patch and whether it requires a restart or additional configuration;. severity rating - patches that address critical vulnerabilities are more likely to apply; and. security blogs, forums and mailing lists for any known issues or incompatibilities introduced by the patch. If patching is not feasible, consider alternative measures such as strict configuration hardening, intrusion detection systems, regular vulnerability scanning, network segmentation or isolation where feasible, access control and monitoring.",Yes,,,
89,NETWORK SECURITY,The relevant entities shall take the appropriate measures to protect their network and information systems from cyber threats.,,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.7.1,Take into account well-known standards when implementing measures for network security (61).,Yes,,,
90,NETWORK SECURITY,"Document network architecture comprehensively and keep current; determine and apply controls to protect internal network domains from unauthorized access and to prevent unnecessary accesses and communications. Determine and apply controls for remote access including service provider access; do not use administration systems for other purposes. Explicitly forbid or deactivate unneeded connections and services; exclusively allow access by authorized devices where appropriate. Allow service provider connections only after authorization request and for a set period (e.g., maintenance duration). Establish communication between distinct systems through trusted, isolated channels using logical, cryptographic or physical separation with assured endpoint identification and channel data protection. Adopt an implementation plan for secure transition to latest generation network layer communication protocols in a graduated manner. Adopt an implementation plan for deployment of internationally agreed modern e-mail standards to secure communications and mitigate e-mail threats. Apply best practices for DNS security and internet routing security.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.7.2,"Implement secure-by-design principles integrating security at physical, data link, network, transport and application layers. Implement secure wireless configurations and consider zero-trust network access where appropriate. Identify technical measures for protocol transition (e.g., IPv6) and define roles, responsibilities and timelines. Approve, log and perform remote maintenance preventing unauthorized access. For email communications, consider standards including STARTTLS, DANE, DMARC, DKIM and sender policy framework, plus internal spam/scam/virus filtering and URL rewriting, scanning and detonation. For DNS security, deploy DNSSEC, protective DNS where feasible, encrypt DNS traffic internally and externally where feasible, deploy dedicated DNS servers, and follow technical guidance on DNS security and resilience. Consider BGP for internet routing security.",Yes,,,
91,NETWORK SECURITY,"The relevant entities shall review and, where appropriate, update these measures at planned intervals and when significant incidents or significant changes to operations or risks occur.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.7.3,"Conduct reviews frequency based on risk assessment: continuously monitor networks for real-time threats, perform vulnerability scans weekly, review and update firewall rules monthly, and thoroughly assess the entire network annually. Review logs or records of all network security rule changes including details, approvals and implementation dates, conducting reviews regularly and documenting comprehensively.",Yes,,,
92,NETWORK SEGMENTATION,The relevant entities shall segment systems into networks or zones in accordance with the results of the risk assessment referred to in point 2.1. They shall segment their systems and networks from third parties’ systems and networks.,,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.8.1,Take into account well known standards when segmenting networks (66). Integrate the segmentation derived from the risk assessment into the network diagram.,Yes,,,
93,NETWORK SEGMENTATION,"Consider functional, logical and physical relationships including location between trustworthy systems and services. Grant access to networks or zones based on security requirement assessment. Keep systems critical to operations or safety in secured zones. Deploy a demilitarized zone within communication networks for secure communication. Restrict access and communications between and within zones to those necessary for operations or safety. Separate the dedicated network for administration from the operational network. Segregate network administration channels from other traffic. Separate production systems from development, testing and backup systems.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.8.2,"Align segments with risk assessment results. Apply graduated measures in different logical network domains: publicly accessible systems, internal networks, out-of-band connections, and high-criticality assets. Implement subnetworks for publicly accessible components that are physically and/or logically separate from internal networks. Determine physical separation degree: separate racks in same room, separate rooms for high-criticality components, or significant geographical separation for high-criticality components. Implement separate network addresses (subnets) for different security domains. Monitor and control communications at external system boundaries and key internal boundaries including segmentation violations. Isolate information security tools from other system components using physically separate subnetworks with managed interfaces where appropriate. Route all privileged networked accesses through dedicated managed interfaces for access control and auditing. Implement managed interfaces for each external telecommunication service.",Yes,,,
94,NETWORK SEGMENTATION,"The relevant entities shall review and, where appropriate, update network segmentation at planned intervals and when significant incidents or significant changes to operations or risks.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.8.3,"Review and, if necessary, update the process for network segmentation rules at least annually.",Yes,,,
95,PROTECTION AGAINST MALICIOUS AND UNAUTHORISED SOFTWARE,The relevant entities shall protect their network and information systems against malicious and unauthorised software.,,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.9.1,,Yes,,,
96,PROTECTION AGAINST MALICIOUS AND UNAUTHORISED SOFTWARE,"For that purpose, the relevant entities shall in particular implement measures that detect or prevent the use of malicious or unauthorised software. The relevant entities shall, where appropriate, ensure that their network and information systems are equipped with detection and response software, which is updated regularly in accordance with the risk assessment carried out pursuant to point 2.1 and the contractual agreements with the providers.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.9.2,"Deploy malicious code protection at system entry/exit points and on workstations, servers, and mobile devices to detect and eradicate threats from email, attachments, web access, removable media, and system vulnerabilities. Configure protection to remain active continuously, perform periodic and real-time scans of external files, generate notifications when threats are detected, quarantine and disinfect infected files, and restore critical system settings that cannot be disabled. Implement application whitelisting and monitor unauthorized activities. Centrally manage protection mechanisms and prevent user circumvention. Deploy spam protection at system entry points. Update protection mechanisms including signature definitions according to patch management procedures and configuration rules. Address false positive impacts on system availability. Align monitoring, logging, and detection rules with the entity's monitoring, logging, access control, and asset-handling policies.",Yes,,,
97,VULNERABILITY HANDLING AND DISCLOSURE,"The relevant entities shall obtain information about technical vulnerabilities in their network and information systems, evaluate their exposure to such vulnerabilities and take appropriate measures to manage the vulnerabilities.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.10.1,"Adopt a framework for assessing the severity of vulnerabilities based on models (e.g. CVSS, exploit prediction scoring system (EPSS) or SANS vulnerability assessment framework) and supplemented by environmental and threat metrics as appropriate.",Yes,,,
98,VULNERABILITY HANDLING AND DISCLOSURE,"Relevant entities shall monitor vulnerability information through CSIRTs, competent authorities, and suppliers; perform vulnerability scans at planned intervals with documented results; address critical vulnerabilities without undue delay; ensure vulnerability handling aligns with change management, patch management, risk management, and incident management procedures; and establish procedures for disclosing vulnerabilities per applicable national coordinated vulnerability disclosure policies.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.10.2,Address vulnerabilities assigned higher CVSS classifications (critical and high) or equivalent designations without undue delay; avoiding risk acceptance is advisable. Share technical scan results with designated personnel and authorities to eliminate similar vulnerabilities across systems. Disclose unknown vulnerabilities to designated CSIRTs per national coordinated vulnerability disclosure policies where applicable. Identify a single point of contact and communication channels with suppliers and service providers for network and information security issues.,Yes,,,
99,VULNERABILITY HANDLING AND DISCLOSURE,"When justified by the potential impact of the vulnerability, the relevant entities shall create and implement a plan to mitigate the vulnerability. In other cases, the relevant entities shall document and substantiate the reason why the vulnerability does not require remediation.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.10.3,"Ensure comprehensive documentation of identified vulnerabilities, the associated risk assessments and any mitigation plans developed. Define and establish the roles and responsibilities associated with vulnerability management. Mitigation plans should include clear timelines, assigned responsibilities and follow-up procedures. All mitigation plans, along with the rationale for non-remediation decisions, should be reviewed and validated by the management body responsible for risk oversight",Yes,,,
100,VULNERABILITY HANDLING AND DISCLOSURE,"The relevant entities shall review and, where appropriate, update at planned intervals the channels they use for monitoring vulnerability information.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.10.4,"Review the information from the technical-vulnerability-monitoring channels at least biannually. Consider inventorying sources likely to report technical vulnerabilities in the identified components and distribute updates (software publisher websites, CERT website and ENISA website) (71).",Yes,,,
101,AWARENESS RAISING AND BASIC CYBER HYGIENE PRACTICES,"For the purpose of Article 21(2), point (g) of Directive (EU) 2022/2555, the relevant entities shall ensure that their employees are aware of risks, are informed of the importance of cybersecurity and apply cyber hygiene practices.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.1.1,"Implement cybersecurity awareness programmes:. use various formats, such as workshops, webinars and e-learning modules;. use multiple communication channels (emails, newsletters and intranet) to keep employees informed about cybersecurity updates, risks and cyber hygiene practices for users.",Yes,,,
102,AWARENESS RAISING AND BASIC CYBER HYGIENE PRACTICES,"For the purpose of point 8.1.1., the relevant entities shall offer to all employees, including members of management bodies, as well as to direct suppliers and service providers where appropriate in accordance with point 5.1.4, an awareness raising programme, which shall: (a) be scheduled over time, so that the activities are repeated and cover new employees; (b) be established in line with the network and information security policy, topic-specific policies and relevant procedures on network and information security; (c) cover cybersecurity risk-management measures in place, contact points and resources for additional information and advice on cybersecurity matters, as well as cyber hygiene practices for users.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.1.2,"Include cyber hygiene practices in awareness programmes covering clear desk and screen policies, strong authentication and multi-factor methods, event reporting, safe email and web browsing, phishing and social engineering protection, secure mobile and connected-vehicle use, secure connection and backup practices, zero-trust concepts, software updates, secure device configuration, network segmentation, and secure teleworking. Train personnel on network and information security policies, recognize social engineering attacks including phishing and pretexting, understand unintentional data exposure causes such as misdirected sensitive data or lost devices, avoid insecure networks for entity activities, and configure home network infrastructure securely if remote. Train on malicious software understanding, detection importance, and risks of unauthorized software. Provide contact points and resources for additional advice, consulting sources from national and international cybersecurity organizations including ENISA's AR-in-a-Box and Cybersecurity Skills Academy.",Yes,,,
103,AWARENESS RAISING AND BASIC CYBER HYGIENE PRACTICES,"The awareness raising programme shall, where appropriate, be tested in terms of effectiveness. The awareness raising programme shall be updated and offered at planned intervals taking into account changes in cyber hygiene practices, and the current threat landscape and risks posed to the relevant entities.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.1.3,"Offer cybersecurity awareness raising programmes periodically. (78) https://www.enisa.europa.eu/topics/awareness-and-cyber-hygiene/ar-in-a-box. (79) Communication from the Commission to the European Parliament and the Council – Closing the cybersecurity talent gap to boost the EU’s competitiveness, growth and resilience ('The Cybersecurity Skills Academy'), COM(2023) 207 final, https://eur-lex.europa.eu/legal- content/EN/TXT/?uri=COM%3A2023%3A207%3AFIN. Test the effectiveness of the awareness raising programme for example by using quizzes or real scenarios. Consider common KPIs (Annex to the regulation, point 7.2) to measure the effectiveness of the awareness-raising programme. Review and update the awareness-raising programme at least annually.",Yes,,,
104,SECURITY TRAINING,"The relevant entities shall identify employees, whose roles require security relevant skill sets and expertise and ensure that they receive regular training on network and information system security.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.2.1,"Assess which roles within the entity require security-relevant skills and expertise. Offer training that focuses on the specific security skills required by the identified roles. Consider globally recognized qualifications and certifications, and the ECSF (80).",Yes,,,
105,SECURITY TRAINING,"The relevant entities shall establish, implement and apply a training program in line with the network and information security policy, topic-specific policies and other relevant procedures on network and information security which lays down the training needs for certain roles and positions based on criteria.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.2.2,"Provide role-specific network and information security training using various methods including online courses, workshops, hands-on labs, simulations, certifications, and security conferences or webinars with certification maintenance. Examples include secure system administration for IT professionals, Open Worldwide Application Security Project awareness and prevention training for web developers, and advanced social engineering awareness training for high-profile roles.",Yes,,,
106,SECURITY TRAINING,"shall be relevant to the job function of the employee and its effectiveness shall be assessed. Training shall take into consideration security measures in place and cover the following: (a) instructions regarding the secure configuration and operation of the network and information systems, including mobile devices; (b) briefing on known cyber threats; (c) training of the behaviour when security-relevant events occur.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.2.1,"Train personnel in authentication best practices including MFA, password creation, and credential management; identify, store, transfer, archive, and destroy sensitive data properly; recognize potential incidents such as unusual email attachments and suspicious network traffic; report events promptly through designated channels; verify and report out-of-date software or automated tool failures to IT personnel; and understand crisis management and business continuity procedures. Incorporate simulated events in crisis management training. Train system administrators and software developers in secure configuration and operation. Provide regular cyber threat updates and test employee security knowledge for sufficiency and currency.",Yes,,,
107,SECURITY TRAINING,The relevant entities shall apply training to staff members who transfer to new positions or roles which require security relevant skill sets and expertise.,,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.2.4,Examine whether the new position or role of an employee requires role-specific network and information security training.,Yes,,,
108,SECURITY TRAINING,"The program shall be updated and run periodically taking into account applicable policies and rules, assigned roles, responsibilities, as well as known cyber threats and technological developments.",,BASIC CYBER HYGIENE PRACTICES AND SECURITY TRAINING,45,8.2.5,Provide cybersecurity training periodically. Review and update the training programme at least annually.,Yes,,,
109,HUMAN RESOURCES SECURITY,"For the purpose of Article 21(2), point (i) of Directive (EU) 2022/2555, the relevant entities shall ensure that their employees and direct suppliers and service providers, wherever applicable, understand and commit to their security responsibilities, as appropriate for the offered services and the job and in line with the relevant entities’ policy on the security of network and information systems.",,HUMAN RESOURCES SECURITY,45,10.1.1,"Implement regular awareness raising on cyber hygiene practices tailored to different roles for all employees, suppliers and service providers, with documented acknowledgement of receipt and understanding required. Provide specialized training for users with administrative or privileged access on their specific responsibilities. Establish security performance metrics in management evaluations and conduct regular management briefings on network and information system security importance, responsibilities and incident impacts. When recruiting, conduct thorough reference checks, background verification procedures including criminal record checks aligned with applicable laws, written tests and practical assessments on security knowledge, and interview panels including security experts to evaluate technical and behavioural competencies.",Yes,,,
110,HUMAN RESOURCES SECURITY,"shall include the following: (a) mechanisms to ensure that all employees, direct suppliers and service providers, wherever applicable, understand and follow the standard cyber hygiene practices that the entities apply pursuant to point 8.1.; (b) mechanisms to ensure that all users with administrative or privileged access are aware of and act in accordance with their roles, responsibilities and authorities; (c) mechanisms to ensure that members of management bodies understand and act in accordance with their role, responsibilities and authorities regarding network and information system security; (d) mechanisms for hiring personnel qualified for the respective roles, such as reference checks, vetting procedures, validation of certifications or written tests.",,HUMAN RESOURCES SECURITY,45,10.1.1,"Implement regular awareness raising on cyber hygiene practices for users, tailored to different roles and responsibilities (Annex to the regulation, point 8.1). Wherever applicable, require employees of direct suppliers and service providers, to follow similar awareness raising on cyber hygiene via contractual clauses. Communicate clear and concise cyber hygiene practices for users to all employees, suppliers and service providers. Require acknowledgement of receipt and understanding (Annex to the regulation, point 8.1). Consider specialised training for users with administrative or privileged access, focusing on their specific responsibilities (Annex to the regulation, point 8.2). Establish performance metrics related to security responsibilities and include them in management evaluations. Hold regular briefings for members of management bodies on the importance of network and information system security, their specific responsibilities and the potential impact of incidents (section 8.2). Conduct thorough reference checks, where appropriate, to verify the candidate’s previous experience and performance in similar roles. Consider vetting procedures, including background checks (section 10.2), to ensure the candidate’s suitability for the role. Validate any relevant certifications claimed by the candidate, to ensure they are current and legitimate. Use written tests or practical assessments to evaluate the candidate’s knowledge and skills related t. network and information system security. Use interview panels, where appropriate, that also include security experts, to assess the candidate’s technical and behavioural competencies.",Yes,,,
111,HUMAN RESOURCES SECURITY,"The relevant entities shall review the assignment of personnel to specific roles as referred to in point 1.2., as well as their commitment of human resources in that regard, at planned intervals and at least annually. They shall update the assignment where necessary.",,HUMAN RESOURCES SECURITY,45,10.1.3,Set up a formal schedule for reviewing personnel assignments and resource commitments. This should occur at least annually.,Yes,,,
112,VERIFICATION OF BACKGROUND,"The relevant entities shall ensure to the extent feasible verification of the background of their employees and where applicable of direct suppliers and service providers in accordance with point 5.1.4, if necessary for their role, responsibilities and authorisations.",,HUMAN RESOURCES SECURITY,45,10.2.1,"Identify which roles, responsibilities and authorities require verification of background, based on the criteria in point 10.2.2 (a) of the Annex to the regulation. Perform background verification on employees and, where applicable, direct suppliers and service providers in accordance with point 5.1.4 (c) of the Annex to the regulation.",Yes,,,
113,VERIFICATION OF BACKGROUND,"For the purpose of point 10.2.1., the relevant entities shall: (a) put in place criteria, which set out which roles, responsibilities and authorities shall only be exercised by persons whose background has been verified; (b) ensure that verification referred to in point 10.2.1 is performed on these persons before they start exercising these roles, responsibilities and authorities, which shall take into consideration the applicable laws, regulations and ethics in proportion to the business requirements, the asset classification as referred to in point 12.1. and the network and information systems to be accessed and the perceived risks.",,HUMAN RESOURCES SECURITY,45,10.2.2,"Define criteria for roles requiring background verification, including executives, senior management, roles accessing sensitive information, roles with financial or procurement responsibilities, and roles with physical asset access. Establish criteria and limitations for background verification including who conducts screening, timing and rationale. Check criminal records for offences relevant to specific positions, ensuring alignment with legal and regulatory requirements including national labour laws and GDPR. Collect and handle job candidate information lawfully including professional references and personal data protection. For externally contracted personnel, include background screening requirements in agreements with suppliers. Periodically repeat verification based on role criticality to confirm ongoing suitability. Entities may rely on background checks of contractors employed by third-party talent agencies with which they have service contracts.",Yes,,,
114,VERIFICATION OF BACKGROUND,"The relevant entities shall review and, where appropriate, update the policy at planned intervals and update it where necessary.",,HUMAN RESOURCES SECURITY,45,10.2.3,"Where necessary, review and update background verification procedure at least annually.",Yes,,,
115,TERMINATION OR CHANGE OF EMPLOYMENT PROCEDURES,The relevant entities shall ensure that network and information system security responsibilities and duties that remain valid after termination or change of employment of their employees are contractually defined and enforced.,,HUMAN RESOURCES SECURITY,45,10.3.1,Include specific clauses in employment contracts that outline the ongoing security responsibilities and duties of employees after their employment ends or their role changes.,Yes,,,
116,TERMINATION OR CHANGE OF EMPLOYMENT PROCEDURES,"For the purpose of point 10.3.1., the relevant entities shall include in the individual’s terms and conditions of employment, contract or agreement the responsibilities and duties that are still valid after termination of employment or contract, such as confidentiality clauses.",,HUMAN RESOURCES SECURITY,45,10.3.2,"Ensure these clauses cover the protection of confidential information, return of company property and restrictions on accessing the entity’s network and information systems. Revoke access to network and information systems in a timely manner upon termination or role change. Identify and document all assets to be returned upon termination or change of employment. After a change of employment, brief and inform personnel on the procedures in place.",Yes,,,
117,DISCIPLINARY PROCESS,"The relevant entities shall establish, communicate and maintain a disciplinary process for handling violations of network and information system security policies. The process shall take into consideration relevant legal, statutory, contractual and business requirements.",,HUMAN RESOURCES SECURITY,45,10.4.1,"Make sure that the process holds employees accountable for violations of the network and information system security policies. Involve human resources in implementing the disciplinary process, ensuring it aligns with legal and regulatory requirements (e.g. national labour laws and the GDPR). Communicate and raise awareness of the process among employees. Protect the identity of individuals subject to disciplinary action, where possible, in line with applicable requirements.",Yes,,,
118,DISCIPLINARY PROCESS,"The relevant entities shall review and, where appropriate, update the disciplinary process at planned intervals and when necessary due to legal changes or significant changes to operations or risks.",,HUMAN RESOURCES SECURITY,45,10.4.2,Regularly review and update the disciplinary process at planned intervals and promptly when legal changes or significant operational or risk changes occur.,Yes,,,
119,ACCESS CONTROL POLICY,"For the purpose of Article 21(2), point (i) of Directive (EU) 2022/2555, the relevant entities shall establish, document and implement logical and physical access control policies for the access to their network and information systems, based on business requirements as well as network and information system security requirements.",,ACCESS CONTROL,45,11.1.1,"Implement and maintain logical and physical access restrictions to network and information system based on access-control policies that take into account industry good practices. Ensure that these policies are documented, communicated to all relevant stakeholders and include clear guidelines on the appropriate use of access privileges.",Yes,,,
120,ACCESS CONTROL POLICY,"shall: (a) address access by persons, including staff, visitors and external entities such as suppliers and service providers; (b) address access by network and information system processes; (c) ensure that access is only granted to users that have been adequately authenticated.",,ACCESS CONTROL,45,11.1.1,"Implement access control rules defining appropriate access rights and restrictions for human users and network processes; assign specific roles to groups to simplify management. Access control granularity ranges from whole networks to specific data fields and can consider properties such as user location or network connection type. Use business requirements and risk assessments to define access control rules and required granularity, ensuring consistency between access rights and asset classification, physical perimeter security needs, authorized networks and services in distributed environments, and dynamic access control factors. Develop documented procedures and defined responsibilities supporting access control rules.",Yes,,,
121,ACCESS CONTROL POLICY,"The relevant entities shall review and, where appropriate, update the policies at planned intervals and when significant incidents or significant changes to operations or risks occur.",,ACCESS CONTROL,45,11.1.3,Review the policies at least annually.,Yes,,,
122,MANAGEMENT OF ACCESS RIGHTS,"The relevant entities shall provide, modify, remove and document access rights to network and information systems in accordance with the access control policy referred to in point 11.1.",,ACCESS CONTROL,45,11.2.1,,Yes,,,
123,MANAGEMENT OF ACCESS RIGHTS,"The relevant entities shall: (a) assign and revoke access rights based on the principles of need-to-know, least privilege and separation of duties; (b) ensure that access rights are modified accordingly upon termination or change of employment; (c) ensure that access to network and information systems is authorised by the relevant persons; (d) ensure that access rights appropriately address third-party access, such as visitors, suppliers and service providers, in particular by limiting access rights in scope and in duration; (e) maintain a register of access rights granted; (f) apply logging to the management of access rights.",,ACCESS CONTROL,45,11.2.2,"Ensure each user has access only to information necessary for their role (need-to-know) and minimum permissions for duties (least privilege), with regular review and adjustment. Determine duties and areas requiring segregation. Establish a documented process for requesting and approving access covering new hires and role changes, obtaining asset owner authorization, activating access only after authorization completion, considering business requirements and segregation of duties, verifying access level consistency with policy, and providing temporary access with defined expiry dates. Establish a documented process for revoking access timely upon termination or role change, disabling rather than deleting accounts to preserve audit trails, modifying rights for role changes, and enabling components to share revocation signals. Limit third-party access by need and duration using temporary accounts with expiry dates, with regular reviews and documented acknowledgement of responsibilities. Maintain a detailed central record of all granted access rights including usernames, roles, permissions and change dates. Establish and maintain an inventory of authentication and authorization systems. Implement logging for all access rights management activities showing who, when and what changes were made. Minimize generic and shared accounts to ensure user identification for all actions.",Yes,,,
124,MANAGEMENT OF ACCESS RIGHTS,The relevant entities shall review access rights at planned intervals and shall modify them based on organisational changes. The relevant entities shall document the results of the review including the necessary changes of access rights.,,ACCESS CONTROL,45,11.2.3,"Regularly review physical and logical access rights, taking into account:. users’ access rights after termination or change of employment;. authorisations for privileged access rights. Review and update the inventory of the authentication and authorization systems regularly. Perform access control reviews of assets to verify that all privileges are authorised on a recurring schedule at least annually.",Yes,,,
125,PRIVILEGED ACCOUNTS AND SYSTEM ADMINISTRATION ACCOUNTS,The relevant entities shall maintain policies for management of privileged accounts and system administration accounts as part of the access control policy referred to in point 11.1.,,ACCESS CONTROL,45,11.3.1,"Allocate privileged access rights only to authorized individuals with functional necessity based on minimum access requirements and in line with the access control policy. Identify users needing privileged access to networks, information systems, and physical access to cryptographic materials. Maintain authorization processes and records of all allocated privileged access rights consistent with access grant and revocation procedures. Implement higher authentication requirements such as re-authentication or step-up authentication for privileged access. Define and enforce expiry requirements for privileged access rights. Avoid generic administration user IDs; if unavoidable, manage and protect their authentication information. Grant temporary privileged access only for the duration of approved changes or maintenance activities. Log all privileged access for audit purposes and assign separate identities to individual users rather than sharing identities. Use privileged identities exclusively for administrative tasks, not general tasks such as email or web access. Ensure users are aware of their privileged access rights and when in privileged mode. Consider separation of identities for different administrative task frequencies (daily versus weekly/monthly operations).",Yes,,,
126,PRIVILEGED ACCOUNTS AND SYSTEM ADMINISTRATION ACCOUNTS,"shall: (a) establish strong identification, authentication such as multi-factor authentication and authorisation procedures for privileged accounts and system administration accounts; (b) set up specific accounts to be used for system administration operations exclusively, such as installation, configuration, management or maintenance; (c) individualise and restrict system administration privileges to the highest extent possible, (d) provide that system administration accounts are only used to connect to system administration systems.",,ACCESS CONTROL,45,11.3.1,"Introduce higher authentication requirements for privileged access rights, such as re-authentication or authentication step-up before using privileged access rights. Define and implement expiry requirements for privileged access rights, where appropriate. In the absence of a system that allows all uses to be attributed to an individual with certainty, establish specific rules to avoid the use of generic administration user IDs (e.g. ‘root’) and manage and protect the authentication information of such identities. Grant temporary privileged access only for the time necessary to implement approved changes or activities (e.g. for maintenance activities), rather than permanently granting privileged access rights. 91 “Privileged access rights are access rights provided to an identity, a role or a process that allows the performance of activities that typical users or processes cannot perform. System administrator roles typically require privileged access rights.” ISO/IEC 27002, 8.2. Privileged access rights. Consider the frequency of system administration operations: daily tasks (e.g. backups and email routing) versus weekly or monthly tasks (e.g. reviewing memory and disk space). Log all privileged access for audit purposes;. Assign separate identities with privileged access rights to individual users, rather than sharing or linking identities. Group identities for easier management if needed. Use identities with privileged access rights exclusively for administrative tasks, not for day-to-day general tasks such as checking email or accessing the web. Where feasible (92), separate privileged identities should be assigned for administrative tasks. Ensure users are aware of their privileged access rights or when they are in privileged access mode, for example using specific user identities, user interface settings or equipment.",Yes,,,
127,PRIVILEGED ACCOUNTS AND SYSTEM ADMINISTRATION ACCOUNTS,"The relevant entities shall review access rights of privileged accounts and system administration accounts at planned intervals and be modified based on organisational changes and shall document the results of the review, including the necessary changes of access rights.",,ACCESS CONTROL,45,11.3.3,"Verify whether the duties, roles, responsibilities and competences of system administrators still qualify them for working with privileged access rights.",Yes,,,
128,ADMINISTRATION SYSTEMS,The relevant entities shall restrict and control the use of system administration systems in accordance with the access control policy referred to in point 11.1.,,ACCESS CONTROL,45,11.4.1,"Access to system administration systems must be strictly controlled and limited to authorized personnel only, with all activity logged and regularly reviewed. Integrate access logs into centralized log management or SIEM solutions and configure automated alerts to detect and notify of suspicious or unauthorized access attempts. Define retention periods for logs based on business needs and legal requirements. Capture logs of access attempts, administrative actions, system changes, and other events necessary for security monitoring, incident detection, and forensic analysis.",Yes,,,
129,ADMINISTRATION SYSTEMS,"For that purpose, the relevant entities shall: (a) only use system administration systems for system administration purposes and not for any other operations; (b) separate logically such systems from application software not used for system administrative purposes, (c) protect access to system administration systems through authentication and encryption.",,ACCESS CONTROL,45,11.4.2,Implement strict access controls to restrict system administration systems to authorized personnel with appropriate roles. Physically or logically isolate administrative systems from other servers using network segmentation or physical inspection. Require strong authentication mechanisms such as MFA for system administration access. Encrypt communication channels using secure protocols and encrypt sensitive configuration files and credentials stored on administrative systems. Ensure application protocols are securely implemented and verify that SSO or federation protocols are correctly implemented and conform to specifications.,Yes,,,
